?     1	(("n'", 'est'), ['ce', 0, 0, 'pas'])	{'NIL': [('fr-ud-train_00908', '2', '3'), ('fr-ud-train_00995', '2', '3'), ('fr-ud-train_01334', '5', '6'), ('fr-ud-train_02558', '2', '3'), ('fr-ud-train_02887', '18', '19'), ('fr-ud-train_03316', '2', '3'), ('fr-ud-train_03548', '26', '27'), ('fr-ud-train_04546', '48', '49'), ('fr-ud-train_04650', '2', '3'), ('fr-ud-train_05611', '31', '32'), ('fr-ud-train_05790', '6', '7'), ('fr-ud-train_06701', '2', '3'), ('fr-ud-train_07709', '23', '24'), ('fr-ud-train_08048', '3', '4'), ('fr-ud-train_09857', '2', '3'), ('fr-ud-train_10945', '2', '3'), ('fr-ud-train_11021', '2', '3'), ('fr-ud-train_11774', '2', '3'), ('fr-ud-train_12360', '2', '3'), ('fr-ud-train_12577', '25', '26'), ('fr-ud-train_12870', '15', '16'), ('fr-ud-train_13067', '3', '4'), ('fr-ud-train_13716', '3', '4')], 'advmod - R': [('fr-ud-train_11770', 3, 4)]}
   611	(('points', 'égale'), ['les', 'de', 'est', 'à'])	{'NIL': [('fr-ud-train_09103', '13', '24')], 'acl:relcl - L': [('fr-ud-train_13592', 13, 24)]}
   612	(('passe', 'diocèse'), ['garrebourg', 'de', 'le', 'de'])	{'NIL': [('fr-ud-train_13612', '10', '20')], 'obl:arg - L': [('fr-ud-train_13612', 10, 13)]}
   613	(('diocèse', 'diocèse'), ['le', 'de', 'le', 'de'])	{'NIL': [('fr-ud-train_11732', '50', '62')], 'nmod - L': [('fr-ud-train_13612', 13, 20)]}
   614	(('le', 'internet'), [',', 'site', 0, 'de'])	{'NIL': [('fr-ud-train_01990', '3', '5')], 'det - R': [('fr-ud-train_13625', 5, 7)]}
   615	(('là', 'aussi'), [0, 0, 0, ','])	{'NIL': [('fr-ud-train_11999', '1', '2')], 'advmod - L': [('fr-ud-train_13763', 1, 2)]}
   616	(('grossiste', 'fabricant'), ['le', 'ou', 'le', ','])	{'NIL': [('fr-ud-train_13767', '12', '34')], 'conj - L': [('fr-ud-train_13767', 12, 15)]}
   617	(('cadre', 'festival'), ['le', 'de', 'le', 'de'])	{'NIL': [('fr-ud-train_11347', '19', '29')], 'nmod - L': [('fr-ud-train_13776', 23, 26)]}
   618	(('publiée', 'journal'), ['est', 'pour', 'le', 'spirou'])	{'NIL': [('fr-ud-train_14032', '3', '16')], 'obl:mod - L': [('fr-ud-train_13834', 3, 30)]}
   619	(('construction', 'édification'), ['la', 'de', "l'", 'de'])	{'NIL': [('fr-ud-train_13932', '17', '70')], 'conj - L': [('fr-ud-train_13932', 17, 51)]}
   620	(('claude', 'maire'), ['monsieur', 'cottereau', ',', 'de'])	{'NIL': [('fr-ud-train_14149', '34', '45')], 'appos - L': [('fr-ud-train_14149', 34, 37)]}
   621	(('parachutage', 'troupes'), ['le', 'de', 'les', 'aéroportées'])	{'NIL': [('fr-ud-train_14219', '2', '32')], 'nmod - L': [('fr-ud-train_14219', 2, 5)]}
   622	(('troupes', 'aient'), ['les', 'aéroportées', "n'", 'pas'])	{'NIL': [('fr-ud-train_14219', '5', '35')], 'nsubj - R': [('fr-ud-train_14219', 32, 35)]}
   623	(('temple', 'nord'), ['le', 'de', 'le', 'de'])	{'NIL': [('fr-ud-train_13268', '5', '48'), ('fr-ud-train_13268', '23', '48')], 'nmod - L': [('fr-ud-train_14249', 21, 31)]}
   624	(('début', 'commune'), ['le', 'de', 'la', '.'])	{'NIL': [('fr-ud-train_05385', '3', '15')], 'nmod - L': [('fr-ud-train_14270', 25, 28)]}
   625	(('vue', 'monts'), ['une', 'magnifique', 'les', 'de'])	{'NIL': [('fr-ud-train_14283', '13', '23')], 'nmod - L': [('fr-ud-train_14283', 13, 17)]}
   626	(('village', 'voïvodie'), ['un', 'polonais', 'la', 'de'])	{'NIL': [('fr-ud-train_06208', '10', '26')], 'nmod - L': [('fr-ud-train_14397', 4, 8)]}
   627	(('municipalité', 'république'), ['la', 'de', ',', 'serbe'])	{'NIL': [('fr-ud-train_02749', '6', '10')], 'appos - L': [('fr-ud-train_14499', 6, 10)]}
   628	(('mentsee', 'lhassa'), ['le', 'khang', 'de', ','])	{'NIL': [('fr-ud-train_14532', '9', '19')], 'nmod - L': [('fr-ud-train_14532', 9, 12)]}
